"id"	"username"	"password"	"real_name"	"mobile"	"email"	"phone"	"is_valid"	"status"	"login_type"	"bind_device"	"last_login_time"	"last_login_ip"	"login_count"	"pwd_error_count"	"pwd_error_time"	"pwd_expire_time"	"is_deleted"	"create_time"	"update_time"	"create_user_id"	"update_user_id"
"1"	"admin"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"系统管理员"	"13800138000"	"admin@law.com"	"010-12345678"	"1"	"ACTIVE"	"1"		"17/1/2026 08:28:35"	"192.168.0.151"	"100"	"0"			"0"	"8/1/2026 08:39:42"	"17/1/2026 08:28:35"		
"2"	"string"	"$2a$10$GVoB36epzGpC1UTR/jW9.uV6qq8jUx7aXT1TFRJl2GYeWgY55cceG"	"string"	"18656953556"	"string"	""	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"8/1/2026 08:39:42"	"14/1/2026 09:46:48"		
"3"	"lawyer02"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"李律师"	"13800138002"	"li@law.com"	"010-12345680"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"8/1/2026 08:39:42"	"8/1/2026 14:23:25"		
"4"	"staff01"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"王工作人员"	"13800138003"	"wang@law.com"	"010-12345681"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"8/1/2026 08:39:42"	"8/1/2026 14:23:26"		
"5"	"staff02"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"赵工作人员"	"13800138004"	"zhao@law.com"	"010-12345682"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"8/1/2026 08:39:42"	"8/1/2026 14:23:27"		
"6"	"liubei"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"刘备"	"13800001001"	"liubei@shu.com"	"010-88880001"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"7"	"guanyu"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"关羽"	"13800001002"	"guanyu@shu.com"	"010-88880002"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"8"	"zhangfei"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"张飞"	"13800001003"	"zhangfei@shu.com"	"010-88880003"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"9"	"zhaoyun"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"赵云"	"13800001004"	"zhaoyun@shu.com"	"010-88880004"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"10"	"cao_cao"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"曹操"	"13800001005"	"caocao@wei.com"	"010-88880005"	"1"	"ACTIVE"	"1"		"15/1/2026 10:20:48"	"192.168.0.107"	"3"	"0"			"0"	"9/1/2026 09:23:07"	"15/1/2026 10:20:48"		
"11"	"simayi"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"司马懿"	"13800001006"	"simayi@wei.com"	"010-88880006"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"12"	"dianwei"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"典韦"	"13800001007"	"dianwei@wei.com"	"010-88880007"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"13"	"sunquan"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"孙权"	"13800001008"	"sunquan@wu.com"	"010-88880008"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"14"	"zhouyu"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"周瑜"	"13800001009"	"zhouyu@wu.com"	"010-88880009"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"15"	"luxun"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"陆逊"	"13800001010"	"luxun@wu.com"	"010-88880010"	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"9/1/2026 09:23:07"	"9/1/2026 09:23:52"		
"16"	"wanan"	"$2a$10$4gyUon33ugZxdhAqFrhxgucg8ywGzwCCqF/5Ygp.12XpA.4Ypk4KC"	"江哥"	"15199999999"	"15166666666@163.com"	"15166666777"	"1"	"ACTIVE"	"1"		"16/1/2026 16:47:52"	"192.168.0.107"	"28"	"0"			"0"	"9/1/2026 16:15:23"	"16/1/2026 16:47:53"		
"17"	"123"	"$2a$10$qvm0vB/NlJFZox17MqUsAeOJ2caiBmiesTTs3DgKD1ZkEWdivq/.u"	"123"	"151229889955"	""	""	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"12/1/2026 08:46:53"	"12/1/2026 08:47:50"		
"18"	"ggggg"	"$2a$10$bQRRr2btC0tJOYjf/RTA1OFU2VeXMcYoRB2bCS7uPHcd7LQiuTCQW"	"123123"	"12388888887"	"12388888888@qq.com"	""	"1"	"ACTIVE"	"1"				"0"	"0"			"0"	"12/1/2026 08:51:28"	"12/1/2026 08:51:34"		
